id,limit_balance,sex,education,marriage,n_children,age,profession,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,target
3245,50000.0,1,other,1.0,1,46,0.5,0,0,0,0,2,2.0,13176.0,15945.0,17180.0,18811.0,18380.0,19086.0,3000.0,1500.0,2000.0,0.0,2000.0,0.0,0
23565,180000.0,2,university,2.0,1,26,1.0,0,0,0,0,0,-1.0,7149.0,12946.0,16163.0,13142.0,9800.0,4857.0,5946.0,3663.0,3159.0,3000.0,4857.0,6240.0,0
16215,20000.0,2,university,1.0,0,50,1.0,1,-1,-1,-1,-1,0.0,-5.0,4995.0,2197.0,3047.0,4262.0,7163.0,5000.0,2200.0,6050.0,5000.0,3000.0,2000.0,0
21881,150000.0,2,university,2.0,2,29,0.0,-1,-1,2,0,0,2.0,2501.0,6845.0,4592.0,8617.0,2190.0,1369.0,4400.0,0.0,4025.0,407.0,0.0,1845.0,0
15457,200000.0,1,university,2.0,0,30,0.0,-1,-1,-1,-1,-1,-1.0,15140.0,18028.0,16456.0,15370.0,14966.0,16230.0,18044.0,16474.0,15392.0,14972.0,16240.0,14960.0,0
7334,90000.0,1,other,2.0,1,26,2.0,-2,-2,-2,-2,-2,-2.0,2862.0,0.0,0.0,1000.0,326.0,326.0,0.0,0.0,1000.0,326.0,326.0,1178.0,1
9018,50000.0,2,high school,1.0,1,22,0.0,2,2,2,2,2,2.0,40247.0,40189.0,43434.0,44316.0,45189.0,46214.0,900.0,3900.0,1900.0,1900.0,1900.0,3600.0,0
26125,50000.0,2,high school,1.0,0,55,3.0,0,0,0,0,2,0.0,46300.0,10849.0,8857.0,9658.0,9359.0,9554.0,1200.0,1147.0,1222.0,0.0,350.0,338.0,0
18392,30000.0,1,other,2.0,2,22,0.0,0,-1,0,0,0,2.0,2949.0,19689.0,17681.0,17113.0,13368.0,11739.0,19689.0,2092.0,1500.0,1500.0,0.0,161.0,0
1152,70000.0,2,high school,1.0,2,45,3.0,0,0,0,0,0,0.0,69877.0,68751.0,69744.0,50190.0,49603.0,49469.0,2600.0,2215.0,2000.0,1800.0,2000.0,2000.0,0
19743,150000.0,1,other,1.0,2,44,0.0,0,0,0,0,0,0.0,152375.0,122540.0,129558.0,131476.0,133223.0,136004.0,5005.0,10002.0,5018.0,10006.0,7007.0,6000.0,1
7286,200000.0,1,university,1.0,0,29,1.0,0,0,0,2,2,2.0,45982.0,46328.0,47534.0,48367.0,49366.0,47539.0,2078.0,3900.0,1900.0,1904.0,12.0,5224.0,0
15063,180000.0,2,other,2.0,0,27,0.0,0,0,0,0,0,0.0,95757.0,98098.0,101255.0,101341.0,98419.0,85259.0,3880.0,5114.0,3238.0,3401.0,2980.0,3000.0,0
24595,70000.0,2,high school,1.0,0,38,0.0,0,0,0,0,0,0.0,24758.0,25581.0,16105.0,17571.0,18330.0,16268.0,1273.0,1534.0,2000.0,1000.0,1000.0,1000.0,0
26918,180000.0,1,university,2.0,1,30,2.0,-1,-1,-1,2,-1,-1.0,3229.0,0.0,6709.0,6366.0,1950.0,1931.0,0.0,6709.0,0.0,1950.0,1931.0,16486.0,0
3309,240000.0,1,university,1.0,2,33,2.0,-1,-1,-1,-1,-1,-1.0,8383.0,3470.0,2220.0,2220.0,3356.0,2220.0,3470.0,2220.0,2220.0,3356.0,2220.0,3829.0,0
19568,250000.0,2,other,2.0,1,36,0.0,0,0,0,0,0,0.0,111204.0,114954.0,116608.0,120564.0,121477.0,124115.0,5600.0,5000.0,5900.0,4400.0,4600.0,5100.0,0
3164,500000.0,1,other,2.0,2,37,1.0,-1,-1,-1,-1,-1,-1.0,4331.0,60446.0,30592.0,154167.0,13410.0,25426.0,60446.0,30594.0,150843.0,163881.0,25426.0,39526.0,1
23675,100000.0,1,other,2.0,1,32,0.0,0,0,0,0,0,0.0,83845.0,87580.0,84140.0,86400.0,87275.0,89082.0,4500.0,3300.0,3881.0,2500.0,2519.0,2700.0,0
1724,500000.0,1,university,1.0,2,41,2.0,1,2,0,0,0,0.0,169117.0,163094.0,161768.0,164438.0,162050.0,163456.0,0.0,7400.0,10000.0,6000.0,5907.0,6000.0,0
3871,220000.0,1,university,1.0,1,30,0.0,0,0,0,0,0,2.0,15746.0,17537.0,14856.0,35705.0,25649.0,5018.0,16780.0,14469.0,35278.0,4647.0,19.0,8438.0,0
2177,200000.0,1,other,2.0,1,33,1.0,-2,-2,-2,-2,-2,-2.0,5448.0,7616.0,14771.0,1973.0,9500.0,40647.0,7616.0,14771.0,1973.0,9500.0,40647.0,589.0,0
8507,230000.0,2,university,2.0,0,38,1.0,0,0,0,0,0,0.0,75459.0,76607.0,78868.0,80343.0,82564.0,74531.0,3000.0,3500.0,3000.0,3500.0,3000.0,3000.0,0
28462,80000.0,1,high school,2.0,0,27,1.5,0,0,2,2,2,0.0,10100.0,59714.0,62163.0,62756.0,61149.0,62464.0,50000.0,4000.0,2200.0,0.0,2300.0,5108.0,0
15358,160000.0,2,high school,1.0,0,39,3.0,0,0,-1,-1,-1,-1.0,102358.0,103698.0,1048.0,1048.0,1048.0,1221.0,4671.0,1048.0,1048.0,1048.0,1221.0,1048.0,0
22883,130000.0,2,high school,1.0,0,43,1.5,0,0,0,0,0,0.0,32667.0,33822.0,34975.0,35943.0,36447.0,37259.0,2000.0,2000.0,1850.0,1400.0,1400.0,1400.0,0
3555,50000.0,2,university,1.0,0,33,1.0,0,0,0,0,0,0.0,32752.0,34202.0,35242.0,34776.0,35497.0,36325.0,2000.0,1600.0,1600.0,1300.0,1400.0,1600.0,0
15125,80000.0,2,high school,1.0,0,43,0.0,2,2,3,3,2,3.0,68152.0,71459.0,73690.0,71908.0,76294.0,74788.0,5000.0,4000.0,0.0,5700.0,0.0,0.0,1
19979,180000.0,2,university,1.0,2,40,2.0,0,-1,-1,-1,-1,-1.0,144481.0,1620.0,334.0,9379.0,1100.0,43505.0,1620.0,337.0,9379.0,1100.0,43505.0,0.0,0
13667,210000.0,2,university,2.0,2,24,1.0,-2,-2,-2,-1,-1,-1.0,973.0,4197.0,1772.0,7293.0,1508.0,2498.0,4224.0,2631.0,8132.0,1563.0,2506.0,2135.0,0
10969,330000.0,2,other,1.0,2,41,0.5,1,-2,-2,-2,-2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27850,430000.0,2,other,1.0,0,37,0.5,-1,-1,-1,-1,-1,-1.0,1669.0,412.0,23547.0,5064.0,13258.0,2249.0,416.0,23547.0,5064.0,13258.0,2249.0,3686.0,0
6657,200000.0,1,other,2.0,1,41,0.0,0,0,2,0,0,0.0,24720.0,20982.0,20398.0,19888.0,22713.0,19405.0,3000.0,0.0,8000.0,5000.0,3000.0,0.0,0
21750,180000.0,2,university,2.0,1,29,1.0,0,0,0,0,0,0.0,151652.0,146805.0,143134.0,136777.0,133938.0,133723.0,6000.0,7000.0,5000.0,5000.0,5000.0,4679.0,0
17050,40000.0,1,high school,2.0,0,49,0.0,2,0,0,0,0,0.0,34470.0,31226.0,30321.0,30124.0,33614.0,35665.0,2000.0,3000.0,3000.0,4000.0,3000.0,2000.0,1
8985,210000.0,1,other,1.0,1,46,0.5,-1,-1,-1,-1,-1,-1.0,3035.0,5764.0,46884.0,80514.0,391.0,1487.0,5790.0,46915.0,80871.0,391.0,1497.0,10194.0,0
18145,20000.0,1,university,2.0,1,21,0.0,0,0,0,0,0,0.0,18671.0,18497.0,19633.0,18347.0,9347.0,0.0,1614.0,1750.0,1000.0,1000.0,0.0,0.0,0
20833,200000.0,1,other,1.0,2,29,1.0,-1,-1,-1,0,0,-1.0,295.0,1130.0,12791.0,40341.0,9238.0,1017.0,1130.0,12791.0,28000.0,1000.0,2000.0,74179.0,0
7225,20000.0,1,high school,2.0,0,51,3.0,0,0,0,0,-1,-1.0,9953.0,13989.0,14953.0,14710.0,900.0,0.0,5000.0,1275.0,2704.0,3200.0,0.0,0.0,0
8829,50000.0,2,other,2.0,2,24,1.0,0,0,0,0,0,0.0,2757.0,3776.0,4785.0,5031.0,5134.0,5138.0,1070.0,1079.0,325.0,332.0,238.0,1180.0,0
6712,30000.0,2,university,2.0,0,24,1.0,1,2,2,0,0,0.0,26690.0,27954.0,27226.0,28427.0,28752.0,28447.0,2000.0,0.0,2000.0,1000.0,1100.0,1500.0,0
9610,130000.0,2,other,2.0,0,29,0.0,-1,-1,-1,-1,-1,-1.0,430.0,430.0,230.0,630.0,430.0,14802.0,430.0,230.0,830.0,430.0,14802.0,430.0,0
23086,210000.0,2,university,1.0,1,47,0.0,-1,-1,-1,-1,-1,-1.0,2295.0,561.0,2607.0,3586.0,3676.0,4095.0,566.0,2617.0,3591.0,3680.0,4095.0,8699.0,1
18728,300000.0,2,high school,2.0,2,33,1.5,-1,-1,-2,-2,-2,-2.0,76922.0,-694.0,-694.0,-694.0,-694.0,-694.0,0.0,0.0,0.0,0.0,0.0,5000.0,1
5104,20000.0,2,university,2.0,2,22,1.0,0,0,0,0,0,0.0,17356.0,18205.0,10140.0,10345.0,7552.0,8001.0,1274.0,1119.0,324.0,278.0,579.0,170.0,0
28211,90000.0,2,other,2.0,2,24,1.0,0,0,0,0,0,2.0,30639.0,25390.0,27618.0,26382.0,27546.0,17660.0,2913.0,9000.0,0.0,2000.0,0.0,10639.0,0
7410,140000.0,2,high school,1.0,2,25,1.5,-2,-2,-2,-2,-2,-2.0,76910.0,22972.0,28336.0,30281.0,38339.0,80792.0,1994.0,18002.0,3001.0,9004.0,45117.0,40158.0,0
4471,360000.0,1,university,2.0,2,30,1.0,0,0,0,-1,-1,-1.0,282222.0,154050.0,0.0,18.0,18.0,18.0,7100.0,0.0,18.0,0.0,0.0,2034.0,0
29705,50000.0,2,university,2.0,1,37,1.0,1,2,0,0,0,0.0,26305.0,25583.0,26649.0,27584.0,28135.0,28878.0,0.0,1481.0,1416.0,967.0,1156.0,1000.0,0
19983,20000.0,2,university,2.0,1,21,0.0,0,-1,-1,-2,-2,-2.0,20000.0,1685.0,0.0,0.0,0.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.0,0
5028,80000.0,1,high school,1.0,2,52,1.5,1,2,2,2,2,2.0,13701.0,13034.0,4119.0,2705.0,2855.0,1411.0,0.0,1200.0,0.0,1411.0,0.0,390.0,1
5566,30000.0,2,university,1.0,0,30,2.0,1,5,4,3,2,2.0,28534.0,27805.0,27090.0,26361.0,26831.0,27552.0,0.0,0.0,0.0,1200.0,1300.0,985.0,1
26079,50000.0,1,other,1.0,1,35,1.0,0,0,0,0,0,0.0,50482.0,50267.0,44880.0,45122.0,49518.0,50389.0,6749.0,5000.0,8000.0,5000.0,10000.0,2000.0,0
21551,50000.0,2,university,1.0,2,36,2.0,0,0,0,0,0,0.0,26277.0,25371.0,22790.0,23372.0,22216.0,19586.0,1700.0,1800.0,1300.0,1000.0,1000.0,900.0,0
17435,400000.0,2,other,2.0,2,32,0.5,1,2,2,2,2,2.0,29864.0,29104.0,31379.0,27969.0,9513.0,1346.0,0.0,3000.0,0.0,1000.0,0.0,10025.0,1
1539,60000.0,1,university,2.0,1,38,1.0,0,0,0,0,-2,-2.0,57775.0,51280.0,16299.0,-41.0,-41.0,-41.0,2000.0,1043.0,0.0,0.0,0.0,17500.0,1
20252,160000.0,1,other,1.0,2,40,0.0,1,-1,-1,-1,-1,-1.0,0.0,567.0,4027.0,3100.0,2123.0,4899.0,567.0,4059.0,3100.0,2123.0,4899.0,3165.0,0
29499,360000.0,1,other,1.0,2,46,0.0,-1,-1,-1,-1,0,0.0,2171.0,1063.0,91502.0,100125.0,84773.0,76951.0,1068.0,91679.0,45086.0,2223.0,2091.0,9890.0,0
21373,350000.0,2,university,1.0,0,41,2.0,0,0,0,0,0,0.0,85339.0,84393.0,86793.0,84406.0,73976.0,75497.0,5000.0,5016.0,5000.0,3000.0,3000.0,4000.0,0
25149,500000.0,2,other,2.0,0,34,1.0,0,0,0,0,0,0.0,80630.0,80112.0,81726.0,74297.0,66132.0,67695.0,3000.0,3006.0,2600.0,3000.0,2600.0,2800.0,0
29721,200000.0,2,university,2.0,2,38,1.0,-2,-2,-2,-2,-2,-2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
6135,80000.0,2,university,1.0,0,37,2.0,1,2,0,0,0,2.0,55595.0,54142.0,55247.0,55738.0,59829.0,58715.0,0.0,2600.0,2006.0,5000.0,0.0,5000.0,0
21949,70000.0,1,other,2.0,0,28,0.5,1,-1,-1,2,2,2.0,-47.0,653.0,3455.0,3245.0,1686.0,1681.0,700.0,3000.0,0.0,0.0,0.0,4000.0,1
764,290000.0,2,university,1.0,2,30,1.0,0,0,0,0,0,0.0,284054.0,283149.0,284434.0,275889.0,218834.0,220695.0,10222.0,11019.0,9019.0,8010.0,8002.0,8001.0,0
10445,290000.0,2,university,2.0,2,34,0.0,0,0,0,0,0,0.0,284150.0,288493.0,295333.0,285867.0,240773.0,242655.0,12000.0,12500.0,11000.0,8000.0,9300.0,9000.0,0
18200,150000.0,1,other,2.0,1,26,0.5,-2,-1,0,0,-1,-1.0,600.0,360.0,1401.0,2360.0,70.0,420.0,360.0,1041.0,1000.0,70.0,660.0,0.0,0
20176,70000.0,1,other,2.0,1,31,0.5,1,2,2,0,0,0.0,65779.0,34480.0,33632.0,35747.0,38981.0,43331.0,3000.0,0.0,3000.0,4000.0,5000.0,0.0,1
11898,260000.0,2,university,2.0,2,26,0.0,0,0,0,0,0,0.0,217735.0,222109.0,220219.0,206666.0,185282.0,167161.0,9553.0,7893.0,9241.0,7106.0,6506.0,6240.0,0
19678,80000.0,2,university,2.0,2,25,0.0,1,2,0,0,2,0.0,31040.0,30259.0,31712.0,33734.0,29822.0,30966.0,0.0,2000.0,2444.0,0.0,3000.0,1000.0,1
